수산자원관리법,1493,2107,1707,1584,2017,2235,2305
식품위생법,10463,9929,11116,8933,6800,7480,6734
신용정보의 이용 및 보호에 관한법률,40,33,48,64,22,37,54
아동청소년의 성보호에 관한법률(성매수등),359,336,424,745,345,319,286
아동청소년의 성보호에 관한법률(음란물등),735,648,838,491,993,748,-
아동·청소년의성보호에관한법률(성착취물등),-,-,-,-,-,-,2684
아동복지법,845,1804,3150,3649,4123,5444,6238
액화석유가스의 안전관리 및 사업법,202,239,95,97,84,97,107
약사법,2934,2336,1544,1151,844,1024,1222
여객자동차 운수사업법,1359,2081,1199,1827,723,1207,898
여신전문금융업법,4570,3807,2555,2259,2411,2269,2138
영유아보육법,477,222,305,202,173,195,144
예비군법,14235,12555,10326,8085,7428,6475,1855
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,852,914,1026,687,356,217,162
외국환거래법,1761,1303,806,765,868,747,312
위험물안전관리법,421,467,522,1125,450,498,729
유사수신행위의 규제에 관한법률,330,353,866,853,871,1203,1096
의료기기법,459,349,425,421,534,292,415
의료법,2317,2597,2254,2864,3154,3593,3076
자동차관리법,20568,20756,32623,25013,21464,22193,24870
자동차 손해배상 보장법,33833,38343,57554,43035,28585,23741,19485
자본시장과 금융투자업에 관한법률,1,-,215,329,376,339,346
저작권법,27957,39624,21111,13998,10284,8140,6826
전자금융거래법,7161,9187,6126,6048,8318,8648,6743
전파법,473,612,548,570,647,1930,405
정보통신망이용촉진 및 정보보호 등에 관한법률,12851,13561,14059,13389,14905,15459,17763
조세범처벌법,4216,3778,3454,3358,3044,2998,2854
주민등록법,2941,3235,2436,1812,2211,1770,2137
주차장법,333,354,300,332,240,155,104
주택법,306,466,597,530,586,662,597
직업안정법,872,525,406,473,391,343,208
집회및시위에 관한법률,411,520,531,260,192,225,282
청소년보호법,9006,9118,8862,9082,8351,8065,7690
총포·도검·화약류등의 안전관리에 관한법률,365,280,166,48,349,371,392
최저임금법,388,470,570,665,821,884,814
축산물위생관리법,1707,1443,1354,1730,572,495,305
출입국관리법,1710,1915,2975,2407,2633,4306,2584
통신비밀보호법,155,151,169,178,237,268,297
특가법(도주차량),12371,12233,8954,4811,2833,405,9821
특허법,237,219,237,207,201,228,212
폐기물관리법,1221,1139,1303,1638,1776,1945,2118
풍속영업의 규제에 관한법률,311,222,237,205,156,87,77
하천법,286,292,266,213,219,266,244
학교보건법,607,711,559,82,3,9,-
학원의 설립운영 및 과외교습에 관한법률,900,722,534,511,512,409,382
화물자동차 운수사업법,2074,2090,1550,2110,2393,2305,3198
화재로 인한 재해보상과 보험가입에 관한법률,100,44,59,15,9,13,23
화재예방·소방시설설치유지 및 안전관리에 관한법률,425,550,175,25,389,513,391
화학물질관리법,527,557,646,679,478,638,702
기타특별법,28198,39913,40615,50270,54393,61657,51472
