행정구역별(시도),연도,내국인,국적가진 외국인,국적 없는 외국인,중국,중국(한국계),대만,일본,몽골,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,스리랑카,파키스탄,방글라데시,네팔,우즈베키스탄,카자흐스탄,러시아,미국,캐나다,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간·강제추행등,방화,상해,폭행,체포・감금,협박,약취・유인,폭력행위등,공갈,손괴
경기도,2017,12354512,"603,609","497,089","52,181","209,138","2,018","4,017","9,496","33,045","17,881","37,604","8,898","17,006","10,273","7,134","3,720","7,863","12,785","16,660","4,698","4,121", ,"3,770",48,120,202,1100,123,3872,71,299,7890,40416,312,4196,55,2719,1021,14184
강원도,2017,1500390,"31,123","20,996","3,033","2,084",347,512,800,"3,863",859,"2,048",728,"1,139",506,213,70,264,"1,281",525,233,191,854,233,10,14,22,124,13,308,8,42,1745,4241,35,363,1,303,67,1685
충청북도,2017,1562772,"61,246","48,237","6,148","11,181",374,422,"1,383","5,532","2,026","4,558","1,137","1,816",721,"1,595",316,556,"2,122","3,452",613,767,539,204,13,14,20,151,19,360,8,39,1109,3225,43,352,3,188,84,1503
충청남도,2017,2077674,"104,854","84,752","9,831","22,550",421,"1,179","1,369","9,758","2,719","7,706","2,769","4,700","1,319","1,567",244,493,"3,914","5,157","1,964","1,128","1,042",279,13,19,30,173,16,456,9,72,1814,4202,53,511,5,398,109,2047
전라북도,2017,1792410,"49,840","33,764","6,292","3,455",326,617,"1,225","7,130","1,410","2,837",971,"2,101",595,887,166,441,"1,427","1,187",160,217,708,169,8,14,24,147,24,335,2,45,1275,4146,46,404,4,407,105,1253
전라남도,2017,1755107,"55,504","37,212","4,479","3,668",147,727,665,"8,584","1,748","3,628","1,819","3,039",710,"2,741",88,217,"1,484","1,095",187,200,558,200,4,15,17,129,18,268,10,43,1228,3570,33,340,4,264,81,1189
경상북도,2017,2613080,"83,898","63,978","7,107","7,116",312,566,"1,220","14,465","2,938","5,570","4,719","3,408","1,267","2,331",629,689,"2,265","3,007","1,067",648,"1,178",217,18,11,47,200,25,473,12,60,2257,4919,45,567,7,426,174,2318
경상남도,2017,3254221,"116,379","91,072","7,681","12,590",261,885,"1,131","17,754","4,088","8,172","6,802","4,714","2,051","3,652","1,138",961,"3,430","6,827","1,191","1,326","1,118",335,21,30,51,229,21,695,16,69,3500,7135,49,682,10,598,244,2741
제주특별자치도,2017,621357,"25,646","20,400","6,334","2,706",270,225,358,"2,594",631,"1,212","1,419",577,290,824,82,28,729,104,92,66,696,252,4,14,35,96,6,271,3,15,984,2508,19,325,1,190,57,1219
서울특별시,2018,9299511,"446,473","374,425","68,386","183,148","6,157","6,205","8,199","15,597","3,540","9,945","1,166","1,068",968,324,"1,236",573,"1,084","3,049","3,785","2,300","26,940","5,691",45,97,139,"1,159",180,"5,002",59,293,"5,119","34,321",202,"3,089",48,"1,697",769,"10,845"
부산광역시,2018,3339772,"71,570","55,506","10,760","4,484","1,032","1,000",657,"11,276","2,044","5,833","2,683","1,208","1,115",884,574,360,907,"1,995",655,"1,298","2,712",569,26,27,86,323,46,"1,083",13,108,"3,709","10,409",78,"1,104",11,696,373,"3,527"
대구광역시,2018,2847628,"47,017","35,280","5,356","3,601",454,406,412,"6,311","1,732","4,030","1,617",861,450,944,862,385,628,"1,575",631,535,"2,019",310,9,21,44,246,29,693,19,69,"2,520","6,821",53,741,5,397,143,"2,694"
인천광역시,2018,2409132,"115,720","88,489","10,784","28,415","1,607",812,"2,407","7,179","2,976","6,872","1,880","1,179","2,289",781,"1,074","1,033","1,315","3,826","2,565","1,470","3,085",587,23,21,37,362,44,"1,160",19,77,"1,839","11,711",117,"1,085",15,693,320,"3,570"
광주광역시,2018,1488356,"38,698","29,833","5,289","2,464",186,313,533,"4,825","1,053","3,193",619,"1,130",335,434,357,136,438,"2,782","1,309",853,891,139,10,8,27,197,24,481,18,27,"1,039","5,004",38,368,3,300,99,"1,415"
대전광역시,2018,1460259,"31,100","22,858","6,245","2,359",292,354,538,"3,053",706,"1,912",323,290,60,130,270,221,263,787,442,290,"1,828",345,4,11,51,175,20,532,9,46,"1,012","5,713",36,602,2,202,142,"1,497"
울산광역시,2018,1122954,"35,249","27,162","2,983","9,457",130,211,487,"3,674","1,156","2,531",663,768,408,885,166,118,367,827,327,197,550,93,9,2,26,108,11,301,8,31,"1,127","3,757",19,299,2,248,81,"1,264"
세종특별자치시,2018,305888,"8,187","6,486",931,"1,210",33,73,82,938,173,761,170,230,147,97,48,45,155,281,149,68,349,113,2,3,5,25,4,61,2,4,130,301,2,69,-,22,11,176
경기도,2018,12544991,"672,791","558,197","53,503","229,502","1,857","4,240","10,577","36,933","17,813","53,885","8,889","17,246","11,705","6,859","3,529","7,324","14,017","19,168","7,632","5,559","17,475","3,869",65,125,165,"1,097",155,"3,647",66,346,"7,454","40,785",309,"4,776",48,"2,202",934,"14,895"
